"","SqlTrace"
"98","declare @p1 int
set @p1=180220267
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=7
exec sp_cursoropen @p1 output,N' SELECT CategorieID, Description FROM GMP_CATEGORIEPROBLEME  WHERE CategorieID >= ''0''  AND CategorieID < ''9''  ORDER BY CategorieID ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"99","exec sp_cursorfetch 180220267,16,1,8"
"100","exec sp_cursorfetch 180220267,16,8,1"
"101","exec sp_cursorfetch 180220267,16,8,8"
"102","exec sp_cursorfetch 180220267,16,8,1"
"103","exec sp_cursorfetch 180220267,16,1,8"
"104","exec sp_cursorfetch 180220267,16,8,1"
"105","declare @p1 int
set @p1=180220269
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select Group_Partenaire from GMP_USAGERS where UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"106","exec sp_cursorfetch 180220269,16,1,1"
"107","exec sp_cursorclose 180220269"
"108","declare @p1 int
set @p1=180220271
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=215
exec sp_cursoropen @p1 output,N'SELECT DISTINCT UsagerID,  FName + '' '' + LName +''('' + UsagerID + '')'' as Usager FROM GMP_USAGERS  WHERE Inactif = ''0''  ORDER BY UsagerID ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"109","exec sp_cursorfetch 180220271,16,1,50"
"110","exec sp_cursorfetch 180220271,16,1,64"
"111","exec sp_cursorfetch 180220271,16,65,64"
"112","exec sp_cursorfetch 180220271,16,129,64"
"113","exec sp_cursorfetch 180220271,16,193,64"
"114","exec sp_cursorfetch 180220271,16,216,64"
"115","exec sp_cursorfetch 180220271,16,1,50"
"116","exec sp_cursorfetch 180220271,16,51,50"
"117","exec sp_cursorfetch 180220271,16,101,50"
"118","exec sp_cursorfetch 180220271,16,151,50"
"119","exec sp_cursorfetch 180220271,16,201,50"
"120","exec sp_cursorfetch 180220271,16,216,1"
"121","exec sp_cursorfetch 180220271,16,1,50"
"122","declare @p1 int
set @p1=180220273
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"123","exec sp_cursorfetch 180220273,16,1,1"
"124","exec sp_cursorclose 180220273"
"125","declare @p1 int
set @p1=180220275
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''38'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"126","exec sp_cursorfetch 180220275,16,1,1"
"127","exec sp_cursorclose 180220275"
"128","declare @p1 int
set @p1=180220277
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=56
exec sp_cursoropen @p1 output,N'SELECT SV00515.Contract_Internal_Name FROM SV00515  LEFT JOIN GMP_SV00515  ON SV00515.Contract_Internal_Name = GMP_SV00515.Contract_Internal_Name  WHERE (GMP_SV00515.Desuet = ''0''  AND DateFin >= Convert(DateTime,getdate(),112)) OR SV00515.Contract_Internal_Name = ''''  ORDER BY SV00515.Contract_Internal_Name ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"129","exec sp_cursorfetch 180220277,16,1,50"
"130","exec sp_cursorfetch 180220277,16,1,57"
"131","exec sp_cursorfetch 180220277,16,57,57"
"132","exec sp_cursorfetch 180220277,16,1,50"
"133","exec sp_cursorfetch 180220277,16,51,50"
"134","exec sp_cursorfetch 180220277,16,57,1"
"135","exec sp_cursorfetch 180220277,16,1,50"
"136","declare @p1 int
set @p1=180220279
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=257
exec sp_cursoropen @p1 output,N' SELECT SV00310.Type_of_Problem AS Type_of_Problem FROM SV00310  LEFT JOIN GMP_SV00310  ON SV00310.Type_of_Problem = GMP_SV00310.Type_of_Problem  WHERE 1 = 1  ORDER BY 1 ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"137","exec sp_cursorfetch 180220279,16,1,50"
"138","exec sp_cursorfetch 180220279,16,1,64"
"139","exec sp_cursorfetch 180220279,16,65,64"
"140","exec sp_cursorfetch 180220279,16,129,64"
"141","exec sp_cursorfetch 180220279,16,193,64"
"142","exec sp_cursorfetch 180220279,16,257,64"
"143","exec sp_cursorfetch 180220279,16,258,64"
"144","exec sp_cursorfetch 180220279,16,1,50"
"145","exec sp_cursorfetch 180220279,16,51,50"
"146","exec sp_cursorfetch 180220279,16,101,50"
"147","exec sp_cursorfetch 180220279,16,151,50"
"148","exec sp_cursorfetch 180220279,16,201,50"
"149","exec sp_cursorfetch 180220279,16,251,50"
"150","exec sp_cursorfetch 180220279,16,258,1"
"151","declare @p1 int
set @p1=180220281
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=12
exec sp_cursoropen @p1 output,N' select distinct COMPAGNIE, Max(DEPT_ID) DEPT_ID from GMP_DEPARTEMENT group by COMPAGNIE ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"152","exec sp_cursorfetch 180220281,16,1,13"
"153","exec sp_cursorfetch 180220281,16,13,1"
"154","exec sp_cursorfetch 180220281,16,1,13"
"155","exec sp_cursorfetch 180220281,16,13,1"
"156","exec sp_cursorfetch 180220281,16,1,13"
"157","exec sp_cursorfetch 180220281,16,13,1"
"158","declare @p1 int
set @p1=180220283
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select Group_Partenaire from GMP_USAGERS where UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"159","exec sp_cursorfetch 180220283,16,1,1"
"160","exec sp_cursorclose 180220283"
"161","declare @p1 int
set @p1=180220285
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=457
exec sp_cursoropen @p1 output,N' select Task_Code,''(''+rtrim(Task_Code)+'')''+Task_Description AS Task_Description from GMP_SV00310 a inner join SV00560 b on a.Type_of_Problem = b.Equipment_Type where 1=1 ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"162","exec sp_cursorfetch 180220285,16,1,50"
"163","exec sp_cursorfetch 180220285,16,1,64"
"164","exec sp_cursorfetch 180220285,16,65,64"
"165","exec sp_cursorfetch 180220285,16,129,64"
"166","exec sp_cursorfetch 180220285,16,193,64"
"167","exec sp_cursorfetch 180220285,16,257,64"
"168","exec sp_cursorfetch 180220285,16,321,64"
"169","exec sp_cursorfetch 180220285,16,385,64"
"170","exec sp_cursorfetch 180220285,16,449,64"
"171","exec sp_cursorfetch 180220285,16,458,64"
"172","exec sp_cursorfetch 180220285,16,1,50"
"173","exec sp_cursorfetch 180220285,16,51,50"
"174","exec sp_cursorfetch 180220285,16,101,50"
"175","exec sp_cursorfetch 180220285,16,151,50"
"176","exec sp_cursorfetch 180220285,16,201,50"
"177","exec sp_cursorfetch 180220285,16,251,50"
"178","exec sp_cursorfetch 180220285,16,301,50"
"179","exec sp_cursorfetch 180220285,16,351,50"
"180","exec sp_cursorfetch 180220285,16,401,50"
"181","exec sp_cursorfetch 180220285,16,451,50"
"182","exec sp_cursorfetch 180220285,16,458,1"
"183","declare @p1 int
set @p1=180220287
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=7
exec sp_cursoropen @p1 output,N'SELECT     CLASSEMENT, DESCRIPTION From GMP_ORDERBY  order  by DESCRIPTION ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"184","exec sp_cursorfetch 180220287,16,1,8"
"185","exec sp_cursorfetch 180220287,16,8,1"
"186","exec sp_cursorfetch 180220287,16,8,8"
"187","exec sp_cursorfetch 180220287,16,8,1"
"188","exec sp_cursorfetch 180220287,16,1,8"
"189","exec sp_cursorfetch 180220287,16,8,1"
"190","declare @p1 int
set @p1=180220289
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select Group_Partenaire from GMP_USAGERS where UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"191","exec sp_cursorfetch 180220289,16,1,1"
"192","exec sp_cursorclose 180220289"
"193","exec sp_cursorclose 180220267"
"194","exec sp_cursorclose 180220265"
"195","exec sp_cursorclose 180220279"
"196","exec sp_cursorclose 180220271"
"197","exec sp_cursorclose 180220277"
"198","exec sp_cursorclose 180220281"
"199","exec sp_cursorclose 180220285"
"200","exec sp_cursorclose 180220287"
"201","declare @p1 int
set @p1=180152289
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"202","exec sp_cursorfetch 180152289,16,1,1"
"203","exec sp_cursorclose 180152289"
"204","declare @p1 int
set @p1=180152291
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"205","exec sp_cursorfetch 180152291,16,1,1"
"206","exec sp_cursorclose 180152291"
"207","declare @p1 int
set @p1=180152293
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"208","exec sp_cursorfetch 180152293,16,1,1"
"209","exec sp_cursorclose 180152293"
"210","declare @p1 int
set @p1=180152295
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"211","exec sp_cursoroption 180152295,1,0"
"212","exec sp_cursorfetch 180152295,16,1,1"
"213","exec sp_cursorclose 180152295"
"214","declare @p1 int
set @p1=180152647
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentPartenaires FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"215","exec sp_cursorfetch 180152647,16,1,1"
"216","exec sp_cursorclose 180152647"
"217","declare @p1 int
set @p1=180152297
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"218","exec sp_cursorfetch 180152297,16,1,1"
"219","exec sp_cursorclose 180152297"
"220","declare @p1 int
set @p1=180152299
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"221","exec sp_cursorfetch 180152299,16,1,1"
"222","exec sp_cursorclose 180152299"
"223","declare @p1 int
set @p1=180152301
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"224","exec sp_cursorfetch 180152301,16,1,1"
"225","exec sp_cursorclose 180152301"
"226","declare @p1 int
set @p1=180152303
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"227","exec sp_cursoroption 180152303,1,0"
"228","exec sp_cursorfetch 180152303,16,1,1"
"229","exec sp_cursorclose 180152303"
"230","declare @p1 int
set @p1=180152649
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentPartenaires FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"231","exec sp_cursorfetch 180152649,16,1,1"
"232","exec sp_cursorclose 180152649"
"233","declare @p1 int
set @p1=180152305
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"234","exec sp_cursorfetch 180152305,16,1,1"
"235","exec sp_cursorclose 180152305"
"236","declare @p1 int
set @p1=180152307
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"237","exec sp_cursorfetch 180152307,16,1,1"
"238","exec sp_cursorclose 180152307"
"239","declare @p1 int
set @p1=180152309
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"240","exec sp_cursorfetch 180152309,16,1,1"
"241","exec sp_cursorclose 180152309"
"242","declare @p1 int
set @p1=180152311
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"243","exec sp_cursoroption 180152311,1,0"
"244","exec sp_cursorfetch 180152311,16,1,1"
"245","exec sp_cursorclose 180152311"
"246","declare @p1 int
set @p1=180152651
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentPartenaires FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"247","exec sp_cursorfetch 180152651,16,1,1"
"248","exec sp_cursorclose 180152651"
"249","declare @p1 int
set @p1=180152313
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"250","exec sp_cursorfetch 180152313,16,1,1"
"251","exec sp_cursorclose 180152313"
"252","declare @p1 int
set @p1=180152315
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"253","exec sp_cursorfetch 180152315,16,1,1"
"254","exec sp_cursorclose 180152315"
"255","declare @p1 int
set @p1=180152317
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"256","exec sp_cursorfetch 180152317,16,1,1"
"257","exec sp_cursorclose 180152317"
"258","declare @p1 int
set @p1=180152319
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"259","exec sp_cursoroption 180152319,1,0"
"260","exec sp_cursorfetch 180152319,16,1,1"
"261","exec sp_cursorclose 180152319"
"262","declare @p1 int
set @p1=180152653
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentPartenaires FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"263","exec sp_cursorfetch 180152653,16,1,1"
"264","exec sp_cursorclose 180152653"
"265","declare @p1 int
set @p1=180152321
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"266","exec sp_cursorfetch 180152321,16,1,1"
"267","exec sp_cursorclose 180152321"
"268","declare @p1 int
set @p1=180152323
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"269","exec sp_cursorfetch 180152323,16,1,1"
"270","exec sp_cursorclose 180152323"
"271","declare @p1 int
set @p1=180152325
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"272","exec sp_cursorfetch 180152325,16,1,1"
"273","exec sp_cursorclose 180152325"
"274","declare @p1 int
set @p1=180152327
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"275","exec sp_cursoroption 180152327,1,0"
"276","exec sp_cursorfetch 180152327,16,1,1"
"277","exec sp_cursorclose 180152327"
"278","declare @p1 int
set @p1=180152655
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentPartenaires FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"279","exec sp_cursorfetch 180152655,16,1,1"
"280","exec sp_cursorclose 180152655"
"281","declare @p1 int
set @p1=180152329
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"282","exec sp_cursorfetch 180152329,16,1,1"
"283","exec sp_cursorclose 180152329"
