"","SqlTrace"
"36","exec sp_cursorclose 180150007"
"37","declare @p1 int
set @p1=180150009
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"38","exec sp_cursorfetch 180150009,16,1,1"
"39","exec sp_cursorclose 180150009"
"40","declare @p1 int
set @p1=180150011
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"41","exec sp_cursorfetch 180150011,16,1,1"
"42","exec sp_cursorclose 180150011"
"43","declare @p1 int
set @p1=180150013
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"44","exec sp_cursorfetch 180150013,16,1,1"
"45","exec sp_cursorclose 180150013"
"46","declare @p1 int
set @p1=180150015
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"47","exec sp_cursoroption 180150015,1,0"
"48","exec sp_cursorfetch 180150015,16,1,1"
"49","exec sp_cursorclose 180150015"
"50","declare @p1 int
set @p1=180150017
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'Select StopAgentWebServices FROM gmp_systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"51","exec sp_cursorfetch 180150017,16,1,1"
"52","exec sp_cursorclose 180150017"
"53","declare @p1 int
set @p1=180150019
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem IN (''SOUMISSION CHAUFFAGE'', ''SOUMISSION CLIMATISATION'')',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"54","exec sp_cursorfetch 180150019,16,1,1"
"55","exec sp_cursorclose 180150019"
"56","declare @p1 int
set @p1=180150021
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT *  FROM HS_APPEL  WHERE USERID= ''WebServices''   AND Type_Of_Problem = ''REPARATION DU CHAUFFE-EAU''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"57","exec sp_cursorfetch 180150021,16,1,1"
"58","exec sp_cursorclose 180150021"
"59","declare @p1 int
set @p1=180150023
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT ea.*, ear.EigenResponseMsg, ear.EigenWsAgentStatus  FROM gmp_eigen_agent_WsResp ear   INNER JOIN gmp_eigen_agent ea on ea.InvoiceID= ear.InvoiceID WHERE EigenWsAgentStatus= 0',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"60","exec sp_cursoroption 180150023,1,0"
"61","exec sp_cursorfetch 180150023,16,1,1"
"62","exec sp_cursorclose 180150023"
"63","declare @p1 int
set @p1=180199131
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT sv000805.*, ISNULL(t.Task_Description, sv000805.Note_Service_Index) as Subject  , CASE WHEN ISNULL(t.Task_Description, '''') <> '''' THEN 1 ELSE 0 END as ModeTache, a.Type_of_Problem , RTRIM(sv000805.CustNmbr) + ''_'' + RTRIM(sv000805.AdrsCode) + ''_'' + RTRIM(sv000805.Service_Call_ID) + ''_'' + RTRIM(sv000805.Ws_Note_Type) + ''_'' + RTRIM(sv000805.Note_Service_Index) as NoteKey FROM SV000805  LEFT JOIN HS_Appel a on sv000805.Service_Call_ID= a.Service_Call_ID LEFT JOIN HS_Tache t on sv000805.Service_Call_ID= t.Service_Call_ID         AND t.Task_Line_Number= CASE WHEN ISNUMERIC(sv000805.Note_Service_Index)= 1 THEN sv000805.Note_Service_Index ELSE 0 END WHERE UPPER(Reminder_Author) = ''ED50617RSC''  AND Reminder = ''1''  AND Reminder_Date <= CONVERT(DATETIME,''2016-11-10 11:02:00'')  AND Reminder_Date >= CONVERT(DATETIME,''2000-01-01 00:00:00'')  AND sv000805.WSReserved_CB5= 0  ORDER BY  Reminder_Date ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"64","exec sp_cursoroption 180199131,1,0"
"65","exec sp_cursorfetch 180199131,16,1,1"
"66","exec sp_cursorclose 180199131"
